,abundance
ENSMUSG00000003863,7.370175598493472e-07
ENSMUSG00000003865,8.429471523200726e-05
ENSMUSG00000003868,0.00011724338859093737
ENSMUSG00000003872,5.449757010789033e-08
ENSMUSG00000003873,0.0003906127326952525
ENSMUSG00000003882,1.5500139113748545e-07
ENSMUSG00000003923,2.9284549108310128e-05
ENSMUSG00000003929,7.7832875159442e-06
ENSMUSG00000003934,1.2718105313836324e-07
ENSMUSG00000003948,0.00015245214321345062
ENSMUSG00000003949,1.139959161270416e-06
ENSMUSG00000003955,0.00036838567957553993
ENSMUSG00000003970,0.001294728862832204
ENSMUSG00000003992,3.130189293235538e-05
ENSMUSG00000004018,1.0177386368828452e-05
ENSMUSG00000004031,2.2554707938353877e-08
ENSMUSG00000004032,6.680472195340254e-05
ENSMUSG00000004035,3.2958453179685303e-06
ENSMUSG00000004038,3.837515454177272e-08
ENSMUSG00000004040,7.599880435583671e-05
ENSMUSG00000004043,1.1772522209801374e-05
ENSMUSG00000004044,0.000566049300248572
ENSMUSG00000004054,4.247443740610582e-06
ENSMUSG00000004056,4.865444730762907e-05
ENSMUSG00000004069,3.174250737477548e-05
ENSMUSG00000004070,6.422860980167185e-05
ENSMUSG00000004071,1.8378650808671703e-05
ENSMUSG00000004085,0.0001400940831418421
ENSMUSG00000004096,0.000219288412547737
ENSMUSG00000004098,2.5830971525893322e-05
ENSMUSG00000004099,3.2327818252426255e-05
ENSMUSG00000004100,5.9803150741329504e-05
